0,0
1,0
2,1
3,1.65
4,0.4725
5,-1.33288
6,-0.622369
7,2.72806
8,3.76903
9,-0.915028
10,-5.62522
11,-1.19235
12,9.22532
13,8.90421
14,-7.97278
15,-18.429
16,1.77757
17,31.6419
18,18.7231
19,-37.457
20,-53.304
21,26.2836
22,103.371
23,26.1373
24,-147.404
25,-136.632
26,148.035
27,315.835
28,-30.5642
29,-524.202
30,-290.829
31,650.685
32,889.271
33,-462.07
34,-1722.18
35,-379.105
36,2510.07
37,2239.11
38,-2559.69
39,-5245.38
40,687.004
41,8840.15
42,4647.89
43,-11122.1
44,-14665
45,8264.13
46,28836.7
47,5522.24
48,-42548.3
49,-36490.9
0,0
1,0
2,1
3,1.65
4,0.4725
5,-1.33288
6,-0.622369
7,2.72806
8,3.76903
9,-0.915028
10,-5.62522
11,-1.19235
12,9.22532
13,8.90421
14,-7.97278
15,-18.429
16,1.77757
17,31.6419
18,18.7231
19,-37.457
20,-53.304
21,26.2836
22,103.371
23,26.1373
24,-147.404
25,-136.632
26,148.035
27,315.835
28,-30.5642
29,-524.202
30,-290.829
31,650.685
32,889.271
33,-462.07
34,-1722.18
35,-379.105
36,2510.07
37,2239.11
38,-2559.69
39,-5245.38
40,687.004
41,8840.15
42,4647.89
43,-11122.1
44,-14665
45,8264.13
46,28836.7
47,5522.24
48,-42548.3
49,-36490.9
0,0
1,0
2,0
3,1
4,-5
5,23
6,-102
7,454
8,-2022
9,9011
10,-40159
11,178977
12,-797644
13,3.55484e+06
14,-1.58428e+07
15,7.06062e+07
16,-3.14669e+08
17,1.40238e+09
18,-6.24996e+09
19,2.7854e+10
20,-1.24137e+11
21,5.53237e+11
22,-2.4656e+12
23,1.09884e+13
24,-4.89717e+13
25,2.18251e+14
26,-9.72674e+14
27,4.3349e+15
28,-1.93192e+16
29,8.60996e+16
30,-3.83718e+17
31,1.71011e+18
32,-7.62141e+18
33,3.39662e+19
34,-1.51376e+20
35,6.74635e+20
36,-3.00663e+21
37,1.33996e+22
38,-5.97177e+22
39,2.66143e+23
40,-1.18611e+24
41,5.28612e+24
42,-2.35585e+25
43,1.04993e+26
44,-4.67919e+26
45,2.08536e+27
46,-9.2938e+27
47,4.14195e+28
48,-1.84593e+29
49,8.22673e+29
0,9
1,1062
2,495
3,6408
4,-24939
5,87894
6,-260973
7,768780
8,-2.26605e+06
9,6.76327e+06
10,-2.02832e+07
11,6.09236e+07
12,-1.82915e+08
13,5.489e+08
14,-1.64671e+09
15,4.93985e+09
16,-1.4819e+10
17,4.44563e+10
18,-1.33369e+11
19,4.00108e+11
20,-1.20033e+12
21,3.60098e+12
22,-1.08029e+13
23,3.24088e+13
24,-9.72264e+13
25,2.91679e+14
26,-8.75038e+14
27,2.62511e+15
28,-7.87534e+15
29,2.3626e+16
30,-7.08781e+16
31,2.12634e+17
32,-6.37902e+17
33,1.91371e+18
34,-5.74112e+18
35,1.72234e+19
36,-5.16701e+19
37,1.5501e+20
38,-4.65031e+20
39,1.39509e+21
40,-4.18528e+21
41,1.25558e+22
42,-3.76675e+22
43,1.13002e+23
44,-3.39007e+23
45,1.01702e+24
46,-3.05107e+24
47,9.1532e+24
48,-2.74596e+25
49,8.23788e+25
0,0
1,0
2,0
3,1
4,-4
5,13
6,-38
7,111
8,-328
9,981
10,-2946
11,8851
12,-26572
13,79729
14,-239174
15,717471
16,-2.15234e+06
17,6.45696e+06
18,-1.93709e+07
19,5.8113e+07
20,-1.74339e+08
21,5.23018e+08
22,-1.56905e+09
23,4.70716e+09
24,-1.41215e+10
25,4.23644e+10
26,-1.27093e+11
27,3.8128e+11
28,-1.14384e+12
29,3.43152e+12
30,-1.02946e+13
31,3.08837e+13
32,-9.2651e+13
33,2.77953e+14
34,-8.33859e+14
35,2.50158e+15
36,-7.50473e+15
37,2.25142e+16
38,-6.75426e+16
39,2.02628e+17
40,-6.07883e+17
41,1.82365e+18
42,-5.47095e+18
43,1.64128e+19
44,-4.92385e+19
45,1.47716e+20
46,-4.43147e+20
47,1.32944e+21
48,-3.98832e+21
49,1.1965e+22
